_id,SEARCH_YEAR,SEARCH_LEVEL,SELF_IDENTIFY_TRANS,EVIDENCE,ESCAPE_,INJURY,OTHER,COUNT_,ITEMS_FOUND
91,2015,Level 3,No,No,Yes,Yes,Yes,279,Yes
92,2015,Level 3,No,Yes,No,No,No,251,Yes
93,2015,Level 3,No,Yes,No,No,Yes,57,Yes
94,2015,Level 3,No,Yes,No,Yes,No,110,Yes
95,2015,Level 3,No,Yes,No,Yes,Yes,92,Yes
96,2015,Level 3,No,Yes,Yes,No,No,9,Yes
97,2015,Level 3,No,Yes,Yes,No,Yes,1,Yes
98,2015,Level 3,No,Yes,Yes,Yes,No,34,Yes
99,2015,Level 3,No,Yes,Yes,Yes,Yes,56,Yes
100,2015,Level 3,Yes,No,No,No,No,33,No
101,2015,Level 3,Yes,No,No,No,Yes,8,Yes
102,2015,Level 3,Yes,No,No,Yes,No,8,Yes
103,2015,Level 3,Yes,No,No,Yes,Yes,8,Yes
104,2015,Level 3,Yes,No,Yes,No,No,1,Yes
105,2015,Level 3,Yes,No,Yes,Yes,No,1,Yes
106,2015,Level 3,Yes,No,Yes,Yes,Yes,1,Yes
107,2015,Level 3,Yes,Yes,No,Yes,No,1,Yes
108,2015,Level 3,Yes,Yes,Yes,Yes,Yes,1,Yes
109,2015,Level 4,No,No,No,No,No,5,No
110,2015,Level 4,No,Yes,No,No,No,1,Yes
111,2015,Level 4,No,Yes,No,Yes,No,2,Yes
112,2015,Level 4,No,Yes,No,Yes,Yes,1,Yes
113,2016,Level 3,No,No,No,No,No,9308,No
114,2016,Level 3,No,No,No,No,Yes,2803,Yes
115,2016,Level 3,No,No,No,Yes,No,2569,Yes
116,2016,Level 3,No,No,No,Yes,Yes,1662,Yes
117,2016,Level 3,No,No,Yes,No,No,111,Yes
118,2016,Level 3,No,No,Yes,No,Yes,14,Yes
119,2016,Level 3,No,No,Yes,Yes,No,493,Yes
120,2016,Level 3,No,No,Yes,Yes,Yes,256,Yes
121,2016,Level 3,No,Yes,No,No,No,262,Yes
122,2016,Level 3,No,Yes,No,No,Yes,47,Yes
123,2017,Level 3,No,Yes,No,Yes,Yes,75,Yes
124,2019,Level 4,No,No,Yes,Yes,No,1,Yes
125,2017,Level 3,No,Yes,Yes,No,No,14,Yes
126,2019,Level 4,No,No,Yes,Yes,Yes,1,Yes
127,2017,Level 3,No,Yes,Yes,Yes,No,23,Yes
128,2020,Level 3,No,No,No,No,No,3036,No
129,2017,Level 3,No,Yes,Yes,Yes,Yes,40,Yes
130,2020,Level 3,No,No,No,No,No,129,Yes
131,2017,Level 3,Yes,No,No,No,No,33,No
132,2020,Level 3,No,No,No,No,Yes,1803,Yes
133,2017,Level 3,Yes,No,No,No,Yes,9,Yes
134,2020,Level 3,No,No,No,Yes,No,988,Yes
135,2017,Level 3,Yes,No,No,Yes,No,14,Yes
136,2020,Level 3,No,No,No,Yes,Yes,1049,Yes
137,2017,Level 3,Yes,No,No,Yes,Yes,15,Yes
138,2020,Level 3,No,No,Yes,No,No,38,Yes
139,2017,Level 3,Yes,No,Yes,No,No,1,Yes
140,2020,Level 3,No,No,Yes,No,Yes,18,Yes
141,2017,Level 3,Yes,No,Yes,Yes,Yes,1,Yes
142,2020,Level 3,No,No,Yes,Yes,No,193,Yes
143,2017,Level 3,Yes,Yes,No,No,No,1,Yes
144,2020,Level 3,No,No,Yes,Yes,Yes,109,Yes
145,2017,Level 3,Yes,Yes,Yes,No,No,1,Yes
146,2020,Level 3,No,Yes,No,No,No,91,Yes
147,2018,Level 3,No,No,No,No,No,7589,No
148,2020,Level 3,No,Yes,No,No,Yes,40,Yes
149,2018,Level 3,No,No,No,No,Yes,2557,Yes
150,2020,Level 3,No,Yes,No,Yes,No,147,Yes
151,2018,Level 3,No,No,No,Yes,No,2221,Yes
152,2020,Level 3,No,Yes,No,Yes,Yes,30,Yes
153,2018,Level 3,No,No,No,Yes,Yes,1930,Yes
154,2020,Level 3,No,Yes,Yes,No,No,8,Yes
155,2018,Level 3,No,No,Yes,No,No,84,Yes
156,2020,Level 3,No,Yes,Yes,Yes,No,8,Yes
157,2018,Level 3,No,No,Yes,No,Yes,21,Yes
158,2020,Level 3,No,Yes,Yes,Yes,Yes,34,Yes
159,2018,Level 3,No,No,Yes,Yes,No,440,Yes
160,2020,Level 3,Yes,No,No,No,No,14,No
161,2018,Level 3,No,No,Yes,Yes,Yes,306,Yes
162,2020,Level 3,Yes,No,No,No,Yes,9,Yes
163,2018,Level 3,No,Yes,No,No,No,208,Yes
164,2020,Level 3,Yes,No,No,Yes,No,1,Yes
165,2018,Level 3,No,Yes,No,No,Yes,50,Yes
166,2018,Level 3,No,Yes,No,Yes,No,106,Yes
167,2018,Level 3,No,Yes,No,Yes,Yes,60,Yes
168,2018,Level 3,No,Yes,Yes,No,No,12,Yes
169,2018,Level 3,No,Yes,Yes,No,Yes,2,Yes
170,2018,Level 3,No,Yes,Yes,Yes,No,28,Yes
171,2018,Level 3,No,Yes,Yes,Yes,Yes,50,Yes
172,2018,Level 3,Yes,No,No,No,No,35,No
173,2018,Level 3,Yes,No,No,No,Yes,23,Yes
174,2018,Level 3,Yes,No,No,Yes,No,3,Yes
175,2018,Level 3,Yes,No,No,Yes,Yes,16,Yes
176,2018,Level 3,Yes,No,Yes,Yes,No,4,Yes
177,2018,Level 3,Yes,No,Yes,Yes,Yes,2,Yes
178,2018,Level 3,Yes,Yes,No,No,Yes,1,Yes
179,2018,Level 3,Yes,Yes,No,Yes,No,1,Yes
180,2018,Level 4,No,No,No,No,No,3,No
181,2018,Level 4,No,No,No,No,Yes,1,Yes
182,2020,Level 3,Yes,No,No,Yes,Yes,5,Yes
183,2020,Level 3,Yes,No,Yes,Yes,Yes,2,Yes
184,2020,Level 3,Yes,Yes,No,No,No,1,Yes
185,2020,Level 3,Yes,Yes,No,Yes,No,1,Yes
186,2020,Level 4,No,No,No,No,No,1,No
187,2021,Level 3,No,No,No,No,No,200,No
188,2021,Level 3,No,No,No,No,No,555,Yes
189,2021,Level 4,No,No,No,No,No,2,Yes
190,2021,Level 4,No,No,No,No,No,2,No
191,2022,Level 3,No,No,No,No,No,123,No
192,2022,Level 3,No,No,No,No,No,270,Yes
193,2022,Level 4,No,No,No,No,No,1,No
194,2023,Level 3,No,No,No,No,No,143,No
195,2023,Level 3,No,No,No,No,No,294,Yes
196,2023,Level 4,No,No,No,No,No,2,No
197,2023,Level 4,No,No,No,No,No,1,Yes
