_id,YEAR,COMMAND_GROUP,COMMAND_SUBUNIT,UNIT,CLASSIFICATION,COUNT_
702,2019,Priority Response Command,East Field Command,41 Division,Detective Sergeant/ Staff Sergeant,32
703,2019,Priority Response Command,East Field Command,41 Division,Inspector,1
704,2019,Priority Response Command,East Field Command,41 Division,Police Constable,162
705,2019,Priority Response Command,East Field Command,41 Division,Sergeant/Detective,27
706,2019,Priority Response Command,East Field Command,41 Division,Superintendent & Above,0
707,2019,Priority Response Command,East Field Command,42 Division,Civilian,21
708,2019,Priority Response Command,East Field Command,42 Division,Detective Sergeant/ Staff Sergeant,33
709,2019,Priority Response Command,East Field Command,42 Division,Inspector,1
710,2019,Priority Response Command,East Field Command,42 Division,Police Constable,143
711,2019,Priority Response Command,East Field Command,42 Division,Sergeant/Detective,26
712,2019,Priority Response Command,East Field Command,42 Division,Superintendent & Above,1
713,2019,Priority Response Command,East Field Command,43 Division,Civilian,17
714,2019,Priority Response Command,East Field Command,43 Division,Detective Sergeant/ Staff Sergeant,34
715,2019,Priority Response Command,East Field Command,43 Division,Inspector,0
716,2019,Priority Response Command,East Field Command,43 Division,Police Constable,175
717,2019,Priority Response Command,East Field Command,43 Division,Sergeant/Detective,28
718,2019,Priority Response Command,East Field Command,43 Division,Superintendent & Above,1
719,2019,Priority Response Command,East Field Command,53 Division,Civilian,7
720,2019,Priority Response Command,East Field Command,53 Division,Detective Sergeant/ Staff Sergeant,33
721,2019,Priority Response Command,East Field Command,53 Division,Inspector,1
722,2019,Priority Response Command,East Field Command,53 Division,Police Constable,124
723,2019,Priority Response Command,East Field Command,53 Division,Sergeant/Detective,27
724,2019,Priority Response Command,East Field Command,53 Division,Superintendent & Above,0
725,2019,Priority Response Command,East Field Command,55 Division,Civilian,21
726,2019,Priority Response Command,East Field Command,55 Division,Detective Sergeant/ Staff Sergeant,48
727,2019,Priority Response Command,East Field Command,55 Division,Inspector,1
728,2019,Priority Response Command,East Field Command,55 Division,Police Constable,248
729,2019,Priority Response Command,East Field Command,55 Division,Sergeant/Detective,41
730,2019,Priority Response Command,East Field Command,55 Division,Superintendent & Above,1
731,2019,Priority Response Command,East Field Command,Communication Services,Civilian,300
732,2019,Priority Response Command,East Field Command,Communication Services,Detective Sergeant/ Staff Sergeant,9
733,2019,Priority Response Command,East Field Command,Communication Services,Inspector,0
734,2019,Priority Response Command,East Field Command,Communication Services,Police Constable,34
735,2019,Priority Response Command,East Field Command,Communication Services,Sergeant/Detective,8
736,2019,Priority Response Command,East Field Command,Communication Services,Superintendent & Above,0
737,2019,Priority Response Command,East Field Command,Court Services,Civilian,578
738,2019,Priority Response Command,East Field Command,Court Services,Detective Sergeant/ Staff Sergeant,6
739,2019,Priority Response Command,East Field Command,Court Services,Inspector,1
740,2019,Priority Response Command,East Field Command,Court Services,Police Constable,0
741,2019,Priority Response Command,East Field Command,Court Services,Sergeant/Detective,4
742,2019,Priority Response Command,East Field Command,Court Services,Superintendent & Above,1
743,2019,Priority Response Command,East Field Command,East Field Command,Civilian,1
744,2019,Priority Response Command,East Field Command,East Field Command,Detective Sergeant/ Staff Sergeant,2
745,2019,Priority Response Command,East Field Command,East Field Command,Inspector,0
746,2019,Priority Response Command,East Field Command,East Field Command,Police Constable,1
747,2019,Priority Response Command,East Field Command,East Field Command,Sergeant/Detective,1
748,2019,Priority Response Command,East Field Command,East Field Command,Superintendent & Above,1
749,2019,Priority Response Command,East Field Command,Toronto Police Operations,Civilian,4
750,2019,Priority Response Command,East Field Command,Toronto Police Operations,Detective Sergeant/ Staff Sergeant,23
751,2018,Communities & Neighbourhood Command,Communities & Neighbourhood Command,Communities & Neighbourhood Command,Inspector,0
752,2018,Communities & Neighbourhood Command,Communities & Neighbourhood Command,Communities & Neighbourhood Command,Police Constable,0
753,2018,Communities & Neighbourhood Command,Communities & Neighbourhood Command,Communities & Neighbourhood Command,Sergeant/Detective,0
754,2018,Communities & Neighbourhood Command,Communities & Neighbourhood Command,Communities & Neighbourhood Command,Superintendent & Above,1
755,2018,Communities & Neighbourhood Command,West Field Command,11 Division,Civilian,15
756,2018,Communities & Neighbourhood Command,West Field Command,11 Division,Detective Sergeant/ Staff Sergeant,41
757,2018,Communities & Neighbourhood Command,West Field Command,11 Division,Inspector,1
758,2018,Communities & Neighbourhood Command,West Field Command,11 Division,Police Constable,150
759,2018,Communities & Neighbourhood Command,West Field Command,11 Division,Sergeant/Detective,34
760,2018,Communities & Neighbourhood Command,West Field Command,11 Division,Superintendent & Above,1
761,2018,Communities & Neighbourhood Command,West Field Command,12 Division,Civilian,10
762,2018,Communities & Neighbourhood Command,West Field Command,12 Division,Detective Sergeant/ Staff Sergeant,31
763,2018,Communities & Neighbourhood Command,West Field Command,12 Division,Inspector,1
764,2018,Communities & Neighbourhood Command,West Field Command,12 Division,Police Constable,141
765,2018,Communities & Neighbourhood Command,West Field Command,12 Division,Sergeant/Detective,24
766,2018,Communities & Neighbourhood Command,West Field Command,12 Division,Superintendent & Above,0
767,2018,Communities & Neighbourhood Command,West Field Command,14 Division,Civilian,13
768,2018,Communities & Neighbourhood Command,West Field Command,14 Division,Detective Sergeant/ Staff Sergeant,44
769,2018,Communities & Neighbourhood Command,West Field Command,14 Division,Inspector,1
770,2018,Communities & Neighbourhood Command,West Field Command,14 Division,Police Constable,180
771,2018,Communities & Neighbourhood Command,West Field Command,14 Division,Sergeant/Detective,36
772,2018,Communities & Neighbourhood Command,West Field Command,14 Division,Superintendent & Above,1
773,2018,Communities & Neighbourhood Command,West Field Command,22 Division,Civilian,9
774,2018,Communities & Neighbourhood Command,West Field Command,22 Division,Detective Sergeant/ Staff Sergeant,28
775,2018,Communities & Neighbourhood Command,West Field Command,22 Division,Inspector,1
776,2018,Communities & Neighbourhood Command,West Field Command,22 Division,Police Constable,143
777,2018,Communities & Neighbourhood Command,West Field Command,22 Division,Sergeant/Detective,24
778,2018,Communities & Neighbourhood Command,West Field Command,22 Division,Superintendent & Above,0
779,2018,Communities & Neighbourhood Command,West Field Command,23 Division,Civilian,10
780,2018,Communities & Neighbourhood Command,West Field Command,23 Division,Detective Sergeant/ Staff Sergeant,32
781,2018,Communities & Neighbourhood Command,West Field Command,23 Division,Inspector,1
782,2018,Communities & Neighbourhood Command,West Field Command,23 Division,Police Constable,154
783,2018,Communities & Neighbourhood Command,West Field Command,23 Division,Sergeant/Detective,27
784,2018,Communities & Neighbourhood Command,West Field Command,23 Division,Superintendent & Above,1
785,2018,Communities & Neighbourhood Command,West Field Command,31 Division,Civilian,13
786,2018,Communities & Neighbourhood Command,West Field Command,31 Division,Detective Sergeant/ Staff Sergeant,35
787,2018,Communities & Neighbourhood Command,West Field Command,31 Division,Inspector,1
788,2018,Communities & Neighbourhood Command,West Field Command,31 Division,Police Constable,160
789,2018,Communities & Neighbourhood Command,West Field Command,31 Division,Sergeant/Detective,30
790,2018,Communities & Neighbourhood Command,West Field Command,31 Division,Superintendent & Above,0
791,2018,Communities & Neighbourhood Command,West Field Command,51 Division,Civilian,24
792,2018,Communities & Neighbourhood Command,West Field Command,51 Division,Detective Sergeant/ Staff Sergeant,45
793,2018,Communities & Neighbourhood Command,West Field Command,51 Division,Inspector,1
794,2018,Communities & Neighbourhood Command,West Field Command,51 Division,Police Constable,176
795,2018,Communities & Neighbourhood Command,West Field Command,51 Division,Sergeant/Detective,38
796,2018,Communities & Neighbourhood Command,West Field Command,51 Division,Superintendent & Above,1
797,2018,Communities & Neighbourhood Command,West Field Command,52 Division,Civilian,13
798,2018,Communities & Neighbourhood Command,West Field Command,52 Division,Detective Sergeant/ Staff Sergeant,47
799,2018,Communities & Neighbourhood Command,West Field Command,52 Division,Inspector,0
800,2018,Communities & Neighbourhood Command,West Field Command,52 Division,Police Constable,157
801,2020,Communities & Neighbourhood Command,West Field Command,31 Division,Sergeant/Detective,30
802,2020,Communities & Neighbourhood Command,West Field Command,31 Division,Superintendent & Above,0
803,2020,Communities & Neighbourhood Command,West Field Command,51 Division,Civilian,38
804,2020,Communities & Neighbourhood Command,West Field Command,51 Division,Detective Sergeant/ Staff Sergeant,8
805,2020,Communities & Neighbourhood Command,West Field Command,51 Division,Inspector,1
806,2020,Communities & Neighbourhood Command,West Field Command,51 Division,Police Constable,206
807,2020,Communities & Neighbourhood Command,West Field Command,51 Division,Sergeant/Detective,35
808,2020,Communities & Neighbourhood Command,West Field Command,51 Division,Superintendent & Above,1
809,2020,Communities & Neighbourhood Command,West Field Command,52 Division,Civilian,36
810,2020,Communities & Neighbourhood Command,West Field Command,52 Division,Detective Sergeant/ Staff Sergeant,6
811,2020,Communities & Neighbourhood Command,West Field Command,52 Division,Inspector,0
812,2020,Communities & Neighbourhood Command,West Field Command,52 Division,Police Constable,175
813,2020,Communities & Neighbourhood Command,West Field Command,52 Division,Sergeant/Detective,35
814,2020,Communities & Neighbourhood Command,West Field Command,52 Division,Superintendent & Above,1
815,2020,Communities & Neighbourhood Command,West Field Command,Community Partnership and Engagement,Civilian,5
816,2019,Priority Response Command,East Field Command,Toronto Police Operations,Inspector,7
817,2020,Communities & Neighbourhood Command,West Field Command,Community Partnership and Engagement,Detective Sergeant/ Staff Sergeant,3
818,2020,Communities & Neighbourhood Command,West Field Command,Community Partnership and Engagement,Inspector,1
819,2020,Communities & Neighbourhood Command,West Field Command,Community Partnership and Engagement,Police Constable,21
820,2020,Communities & Neighbourhood Command,West Field Command,Community Partnership and Engagement,Sergeant/Detective,8
821,2020,Communities & Neighbourhood Command,West Field Command,Community Partnership and Engagement,Superintendent & Above,1
822,2020,Communities & Neighbourhood Command,West Field Command,Parking Enforcement Unit,Civilian,421
823,2020,Communities & Neighbourhood Command,West Field Command,Parking Enforcement Unit,Detective Sergeant/ Staff Sergeant,1
824,2020,Communities & Neighbourhood Command,West Field Command,Parking Enforcement Unit,Inspector,1
825,2020,Communities & Neighbourhood Command,West Field Command,Parking Enforcement Unit,Police Constable,1
826,2020,Communities & Neighbourhood Command,West Field Command,Parking Enforcement Unit,Sergeant/Detective,2
827,2020,Communities & Neighbourhood Command,West Field Command,Parking Enforcement Unit,Superintendent & Above,0
828,2020,Communities & Neighbourhood Command,West Field Command,Public Safety Response,Civilian,0
829,2020,Communities & Neighbourhood Command,West Field Command,Public Safety Response,Detective Sergeant/ Staff Sergeant,2
830,2020,Communities & Neighbourhood Command,West Field Command,Public Safety Response,Inspector,0
831,2020,Communities & Neighbourhood Command,West Field Command,Public Safety Response,Police Constable,63
832,2020,Communities & Neighbourhood Command,West Field Command,Public Safety Response,Sergeant/Detective,8
833,2020,Communities & Neighbourhood Command,West Field Command,Public Safety Response,Superintendent & Above,1
834,2020,Communities & Neighbourhood Command,West Field Command,Traffic Services,Civilian,17
835,2020,Communities & Neighbourhood Command,West Field Command,Traffic Services,Detective Sergeant/ Staff Sergeant,11
836,2020,Communities & Neighbourhood Command,West Field Command,Traffic Services,Inspector,1
837,2020,Communities & Neighbourhood Command,West Field Command,Traffic Services,Police Constable,210
838,2020,Communities & Neighbourhood Command,West Field Command,Traffic Services,Sergeant/Detective,35
839,2020,Communities & Neighbourhood Command,West Field Command,Traffic Services,Superintendent & Above,1
840,2020,Communities & Neighbourhood Command,West Field Command,West Field Command,Civilian,1
841,2020,Communities & Neighbourhood Command,West Field Command,West Field Command,Detective Sergeant/ Staff Sergeant,0
842,2020,Priority Response Command,East Field Command,32 Division,Civilian,23
843,2020,Communities & Neighbourhood Command,West Field Command,West Field Command,Inspector,0
844,2020,Communities & Neighbourhood Command,West Field Command,West Field Command,Police Constable,0
845,2020,Communities & Neighbourhood Command,West Field Command,West Field Command,Sergeant/Detective,1
846,2020,Communities & Neighbourhood Command,West Field Command,West Field Command,Superintendent & Above,0
847,2020,Priority Response Command,East Field Command,13 Division,Civilian,7
848,2020,Priority Response Command,East Field Command,13 Division,Detective Sergeant/ Staff Sergeant,6
849,2020,Priority Response Command,East Field Command,13 Division,Inspector,1
850,2020,Priority Response Command,East Field Command,13 Division,Police Constable,117
851,2020,Priority Response Command,East Field Command,13 Division,Sergeant/Detective,25
852,2021,Community Safety Command,East Field Command,55 Division,Inspector,1
853,2020,Priority Response Command,East Field Command,13 Division,Superintendent & Above,1
854,2020,Priority Response Command,East Field Command,32 Division,Detective Sergeant/ Staff Sergeant,8
855,2019,Priority Response Command,East Field Command,Toronto Police Operations,Police Constable,70
856,2021,Community Safety Command,East Field Command,55 Division,Police Constable,248
857,2020,Priority Response Command,East Field Command,32 Division,Inspector,1
858,2019,Priority Response Command,East Field Command,Toronto Police Operations,Sergeant/Detective,17
859,2019,Priority Response Command,East Field Command,Toronto Police Operations,Superintendent & Above,1
860,2021,Community Safety Command,East Field Command,55 Division,Sergeant/Detective,32
861,2020,Priority Response Command,East Field Command,32 Division,Police Constable,161
862,2019,Priority Response Command,Priority Response Command,Priority Response Command,Civilian,1
863,2021,Community Safety Command,East Field Command,55 Division,Superintendent & Above,1
864,2020,Priority Response Command,East Field Command,32 Division,Sergeant/Detective,33
865,2019,Priority Response Command,Priority Response Command,Priority Response Command,Detective Sergeant/ Staff Sergeant,1
866,2021,Community Safety Command,Field Services,Communication Services,Civilian,336
867,2020,Priority Response Command,East Field Command,32 Division,Superintendent & Above,1
868,2019,Priority Response Command,Priority Response Command,Priority Response Command,Inspector,0
869,2021,Community Safety Command,Field Services,Communication Services,Detective Sergeant/ Staff Sergeant,1
870,2020,Priority Response Command,East Field Command,33 Division,Civilian,8
871,2019,Priority Response Command,Priority Response Command,Priority Response Command,Police Constable,0
872,2021,Community Safety Command,Field Services,Communication Services,Inspector,0
873,2020,Priority Response Command,East Field Command,33 Division,Detective Sergeant/ Staff Sergeant,5
874,2019,Priority Response Command,Priority Response Command,Priority Response Command,Sergeant/Detective,0
875,2021,Community Safety Command,Field Services,Communication Services,Police Constable,34
876,2020,Priority Response Command,East Field Command,33 Division,Inspector,1
877,2019,Priority Response Command,Priority Response Command,Priority Response Command,Superintendent & Above,1
878,2021,Community Safety Command,Field Services,Communication Services,Sergeant/Detective,10
879,2020,Priority Response Command,East Field Command,33 Division,Police Constable,123
880,2020,Communities & Neighbourhood Command,Communities & Neighbourhood Command,Communities & Neighbourhood Command,Civilian,1
881,2021,Community Safety Command,Field Services,Communication Services,Superintendent & Above,0
882,2020,Priority Response Command,East Field Command,33 Division,Sergeant/Detective,16
883,2020,Communities & Neighbourhood Command,Communities & Neighbourhood Command,Communities & Neighbourhood Command,Detective Sergeant/ Staff Sergeant,1
884,2021,Community Safety Command,East Field Command,East Field Command,Civilian,1
885,2020,Priority Response Command,East Field Command,33 Division,Superintendent & Above,0
886,2020,Communities & Neighbourhood Command,Communities & Neighbourhood Command,Communities & Neighbourhood Command,Inspector,0
887,2021,Community Safety Command,East Field Command,East Field Command,Detective Sergeant/ Staff Sergeant,1
888,2020,Priority Response Command,East Field Command,41 Division,Civilian,23
889,2020,Communities & Neighbourhood Command,Communities & Neighbourhood Command,Communities & Neighbourhood Command,Police Constable,0
890,2021,Community Safety Command,East Field Command,East Field Command,Inspector,0
891,2020,Priority Response Command,East Field Command,41 Division,Detective Sergeant/ Staff Sergeant,6
892,2020,Communities & Neighbourhood Command,Communities & Neighbourhood Command,Communities & Neighbourhood Command,Sergeant/Detective,0
893,2021,Community Safety Command,East Field Command,East Field Command,Police Constable,1
894,2021,Community Safety Command,East Field Command,East Field Command,Sergeant/Detective,1
895,2021,Community Safety Command,East Field Command,East Field Command,Superintendent & Above,1
896,2021,Community Safety Command,Field Services,Toronto Police Operations,Civilian,2
897,2021,Community Safety Command,Field Services,Toronto Police Operations,Detective Sergeant/ Staff Sergeant,9
898,2021,Community Safety Command,Field Services,Toronto Police Operations,Inspector,2
899,2021,Community Safety Command,Field Services,Toronto Police Operations,Police Constable,13
900,2021,Community Safety Command,Field Services,Toronto Police Operations,Sergeant/Detective,6
901,2021,Community Safety Command,Field Services,Toronto Police Operations,Superintendent & Above,1
902,2021,Community Safety Command,Field Services,Field Services,Civilian,1
903,2021,Community Safety Command,Field Services,Field Services,Detective Sergeant/ Staff Sergeant,1
904,2021,Community Safety Command,Field Services,Field Services,Inspector,0
905,2021,Community Safety Command,Field Services,Field Services,Police Constable,0
906,2021,Community Safety Command,Field Services,Field Services,Sergeant/Detective,0
907,2021,Community Safety Command,Field Services,Field Services,Superintendent & Above,1
908,2022,Community Safety Command,West Field Command,11 Division,Superintendent & Above,1
909,2022,Community Safety Command,West Field Command,11 Division,Inspector,1
910,2022,Community Safety Command,West Field Command,11 Division,Detective Sergeant/ Staff Sergeant,6
911,2022,Community Safety Command,West Field Command,11 Division,Sergeant/Detective,20
912,2022,Community Safety Command,West Field Command,11 Division,Police Constable,135
913,2022,Community Safety Command,West Field Command,11 Division,Civilian,15
914,2022,Community Safety Command,West Field Command,12 Division,Superintendent & Above,0
915,2022,Community Safety Command,West Field Command,12 Division,Inspector,1
916,2022,Community Safety Command,West Field Command,12 Division,Detective Sergeant/ Staff Sergeant,6
917,2022,Community Safety Command,West Field Command,12 Division,Sergeant/Detective,24
918,2022,Community Safety Command,West Field Command,12 Division,Police Constable,135
919,2022,Community Safety Command,West Field Command,12 Division,Civilian,13
920,2022,Community Safety Command,East Field Command,13 Division,Superintendent & Above,1
921,2022,Community Safety Command,East Field Command,13 Division,Inspector,1
922,2022,Community Safety Command,East Field Command,13 Division,Detective Sergeant/ Staff Sergeant,4
923,2022,Community Safety Command,East Field Command,13 Division,Sergeant/Detective,25
924,2022,Community Safety Command,East Field Command,13 Division,Police Constable,105
925,2022,Community Safety Command,East Field Command,13 Division,Civilian,8
926,2022,Community Safety Command,West Field Command,14 Division,Superintendent & Above,1
927,2022,Community Safety Command,West Field Command,14 Division,Inspector,1
928,2022,Community Safety Command,West Field Command,14 Division,Detective Sergeant/ Staff Sergeant,6
929,2022,Community Safety Command,West Field Command,14 Division,Sergeant/Detective,31
930,2020,Priority Response Command,East Field Command,41 Division,Inspector,1
931,2020,Communities & Neighbourhood Command,Communities & Neighbourhood Command,Communities & Neighbourhood Command,Superintendent & Above,1
932,2020,Priority Response Command,East Field Command,41 Division,Police Constable,156
933,2020,Priority Response Command,East Field Command,41 Division,Sergeant/Detective,28
934,2020,Priority Response Command,East Field Command,41 Division,Superintendent & Above,1
935,2020,Priority Response Command,East Field Command,42 Division,Civilian,21
936,2020,Communities & Neighbourhood Command,West Field Command,11 Division,Civilian,13
937,2020,Priority Response Command,East Field Command,42 Division,Detective Sergeant/ Staff Sergeant,6
938,2020,Communities & Neighbourhood Command,West Field Command,11 Division,Detective Sergeant/ Staff Sergeant,6
939,2020,Priority Response Command,East Field Command,42 Division,Inspector,1
940,2020,Communities & Neighbourhood Command,West Field Command,11 Division,Inspector,1
941,2020,Priority Response Command,East Field Command,42 Division,Police Constable,140
942,2020,Communities & Neighbourhood Command,West Field Command,11 Division,Police Constable,167
943,2020,Priority Response Command,East Field Command,42 Division,Sergeant/Detective,34
944,2020,Communities & Neighbourhood Command,West Field Command,11 Division,Sergeant/Detective,29
945,2020,Priority Response Command,East Field Command,42 Division,Superintendent & Above,0
946,2020,Communities & Neighbourhood Command,West Field Command,11 Division,Superintendent & Above,1
947,2020,Priority Response Command,East Field Command,43 Division,Civilian,24
948,2020,Communities & Neighbourhood Command,West Field Command,12 Division,Civilian,22
949,2020,Priority Response Command,East Field Command,43 Division,Detective Sergeant/ Staff Sergeant,6
950,2020,Communities & Neighbourhood Command,West Field Command,12 Division,Detective Sergeant/ Staff Sergeant,7
951,2020,Priority Response Command,East Field Command,43 Division,Inspector,1
952,2020,Communities & Neighbourhood Command,West Field Command,12 Division,Inspector,1
953,2020,Priority Response Command,East Field Command,43 Division,Police Constable,186
954,2020,Communities & Neighbourhood Command,West Field Command,12 Division,Police Constable,141
955,2020,Priority Response Command,East Field Command,43 Division,Sergeant/Detective,30
956,2020,Communities & Neighbourhood Command,West Field Command,12 Division,Sergeant/Detective,32
957,2020,Priority Response Command,East Field Command,43 Division,Superintendent & Above,1
958,2020,Communities & Neighbourhood Command,West Field Command,12 Division,Superintendent & Above,0
959,2020,Priority Response Command,East Field Command,53 Division,Civilian,7
960,2020,Communities & Neighbourhood Command,West Field Command,14 Division,Civilian,33
961,2020,Priority Response Command,East Field Command,53 Division,Detective Sergeant/ Staff Sergeant,6
962,2020,Communities & Neighbourhood Command,West Field Command,14 Division,Detective Sergeant/ Staff Sergeant,7
963,2020,Priority Response Command,East Field Command,53 Division,Inspector,1
964,2020,Communities & Neighbourhood Command,West Field Command,14 Division,Inspector,1
965,2020,Priority Response Command,East Field Command,53 Division,Police Constable,137
966,2020,Communities & Neighbourhood Command,West Field Command,14 Division,Police Constable,206
967,2020,Priority Response Command,East Field Command,53 Division,Sergeant/Detective,27
968,2020,Communities & Neighbourhood Command,West Field Command,14 Division,Sergeant/Detective,32
969,2020,Priority Response Command,East Field Command,53 Division,Superintendent & Above,0
970,2020,Communities & Neighbourhood Command,West Field Command,14 Division,Superintendent & Above,1
971,2020,Priority Response Command,East Field Command,55 Division,Civilian,19
972,2020,Communities & Neighbourhood Command,West Field Command,22 Division,Civilian,9
973,2020,Priority Response Command,East Field Command,55 Division,Detective Sergeant/ Staff Sergeant,6
974,2020,Communities & Neighbourhood Command,West Field Command,22 Division,Detective Sergeant/ Staff Sergeant,6
975,2020,Priority Response Command,East Field Command,55 Division,Inspector,1
976,2020,Communities & Neighbourhood Command,West Field Command,22 Division,Inspector,1
977,2020,Priority Response Command,East Field Command,55 Division,Police Constable,253
978,2020,Communities & Neighbourhood Command,West Field Command,22 Division,Police Constable,156
979,2020,Priority Response Command,East Field Command,55 Division,Sergeant/Detective,34
980,2020,Communities & Neighbourhood Command,West Field Command,22 Division,Sergeant/Detective,22
981,2020,Priority Response Command,East Field Command,55 Division,Superintendent & Above,1
982,2020,Communities & Neighbourhood Command,West Field Command,22 Division,Superintendent & Above,0
983,2020,Priority Response Command,East Field Command,Communication Services,Civilian,331
984,2020,Communities & Neighbourhood Command,West Field Command,23 Division,Civilian,21
985,2020,Priority Response Command,East Field Command,Communication Services,Detective Sergeant/ Staff Sergeant,1
986,2020,Communities & Neighbourhood Command,West Field Command,23 Division,Detective Sergeant/ Staff Sergeant,5
987,2020,Priority Response Command,East Field Command,Communication Services,Inspector,0
988,2020,Communities & Neighbourhood Command,West Field Command,23 Division,Inspector,1
989,2020,Priority Response Command,East Field Command,Communication Services,Police Constable,34
990,2020,Communities & Neighbourhood Command,West Field Command,23 Division,Police Constable,160
991,2020,Communities & Neighbourhood Command,West Field Command,23 Division,Sergeant/Detective,24
992,2020,Communities & Neighbourhood Command,West Field Command,23 Division,Superintendent & Above,1
993,2020,Communities & Neighbourhood Command,West Field Command,31 Division,Civilian,23
994,2020,Communities & Neighbourhood Command,West Field Command,31 Division,Detective Sergeant/ Staff Sergeant,6
995,2020,Communities & Neighbourhood Command,West Field Command,31 Division,Inspector,1
996,2020,Communities & Neighbourhood Command,West Field Command,31 Division,Police Constable,163
997,2021,Community Safety Command,West Field Command,West Field Command,Civilian,1
998,2021,Community Safety Command,West Field Command,West Field Command,Detective Sergeant/ Staff Sergeant,1
999,2020,Priority Response Command,East Field Command,Communication Services,Sergeant/Detective,10
1000,2021,Community Safety Command,West Field Command,West Field Command,Inspector,0
1001,2021,Community Safety Command,West Field Command,West Field Command,Police Constable,0
1002,2020,Priority Response Command,East Field Command,Communication Services,Superintendent & Above,0
1003,2021,Community Safety Command,West Field Command,West Field Command,Sergeant/Detective,0
1004,2020,Priority Response Command,East Field Command,Court Services,Civilian,633
1005,2020,Priority Response Command,East Field Command,Court Services,Detective Sergeant/ Staff Sergeant,1
1006,2021,Community Safety Command,West Field Command,West Field Command,Superintendent & Above,1
1007,2021,Community Safety Command,East Field Command,13 Division,Civilian,12
1008,2021,Community Safety Command,East Field Command,13 Division,Detective Sergeant/ Staff Sergeant,6
1009,2021,Community Safety Command,East Field Command,13 Division,Inspector,2
1010,2021,Community Safety Command,East Field Command,13 Division,Police Constable,116
1011,2021,Community Safety Command,East Field Command,13 Division,Sergeant/Detective,23
1012,2021,Community Safety Command,East Field Command,13 Division,Superintendent & Above,0
1013,2021,Community Safety Command,East Field Command,32 Division,Civilian,21
1014,2021,Community Safety Command,East Field Command,32 Division,Detective Sergeant/ Staff Sergeant,6
1015,2021,Community Safety Command,East Field Command,32 Division,Inspector,1
1016,2021,Community Safety Command,East Field Command,32 Division,Police Constable,159
1017,2021,Community Safety Command,East Field Command,32 Division,Sergeant/Detective,32
1018,2021,Community Safety Command,East Field Command,32 Division,Superintendent & Above,1
1019,2021,Community Safety Command,East Field Command,33 Division,Civilian,8
1020,2021,Community Safety Command,East Field Command,33 Division,Detective Sergeant/ Staff Sergeant,5
1021,2021,Community Safety Command,East Field Command,33 Division,Inspector,1
1022,2021,Community Safety Command,East Field Command,33 Division,Police Constable,123
1023,2021,Community Safety Command,East Field Command,33 Division,Sergeant/Detective,14
1024,2021,Community Safety Command,East Field Command,33 Division,Superintendent & Above,0
1025,2021,Community Safety Command,East Field Command,41 Division,Civilian,20
1026,2021,Community Safety Command,East Field Command,41 Division,Detective Sergeant/ Staff Sergeant,6
1027,2021,Community Safety Command,East Field Command,41 Division,Inspector,1
1028,2021,Community Safety Command,East Field Command,41 Division,Police Constable,165
1029,2021,Community Safety Command,East Field Command,41 Division,Sergeant/Detective,29
1030,2021,Community Safety Command,East Field Command,41 Division,Superintendent & Above,1
1031,2021,Community Safety Command,East Field Command,42 Division,Civilian,20
1032,2021,Community Safety Command,East Field Command,42 Division,Detective Sergeant/ Staff Sergeant,7
1033,2021,Community Safety Command,East Field Command,42 Division,Inspector,1
1034,2021,Community Safety Command,East Field Command,42 Division,Police Constable,150
1035,2021,Community Safety Command,East Field Command,42 Division,Sergeant/Detective,27
1036,2021,Community Safety Command,East Field Command,42 Division,Superintendent & Above,1
1037,2021,Community Safety Command,East Field Command,43 Division,Civilian,28
1038,2021,Community Safety Command,East Field Command,43 Division,Detective Sergeant/ Staff Sergeant,5
1039,2021,Community Safety Command,East Field Command,43 Division,Inspector,1
1040,2021,Community Safety Command,East Field Command,43 Division,Police Constable,186
1041,2021,Community Safety Command,East Field Command,43 Division,Sergeant/Detective,28
1042,2021,Community Safety Command,East Field Command,43 Division,Superintendent & Above,1
1043,2021,Community Safety Command,East Field Command,53 Division,Civilian,10
1044,2021,Community Safety Command,East Field Command,53 Division,Detective Sergeant/ Staff Sergeant,5
1045,2021,Community Safety Command,East Field Command,53 Division,Inspector,1
1046,2021,Community Safety Command,East Field Command,53 Division,Police Constable,137
1047,2021,Community Safety Command,East Field Command,53 Division,Sergeant/Detective,25
1048,2021,Community Safety Command,East Field Command,53 Division,Superintendent & Above,0
1049,2021,Community Safety Command,East Field Command,55 Division,Civilian,19
1050,2021,Community Safety Command,East Field Command,55 Division,Detective Sergeant/ Staff Sergeant,6
1051,2020,Priority Response Command,East Field Command,Court Services,Inspector,0
1052,2020,Priority Response Command,East Field Command,Court Services,Police Constable,0
1053,2020,Priority Response Command,East Field Command,Court Services,Sergeant/Detective,3
1054,2020,Priority Response Command,East Field Command,Court Services,Superintendent & Above,1
1055,2020,Priority Response Command,East Field Command,East Field Command,Civilian,1
1056,2020,Priority Response Command,East Field Command,East Field Command,Detective Sergeant/ Staff Sergeant,1
1057,2020,Priority Response Command,East Field Command,East Field Command,Inspector,0
1058,2020,Priority Response Command,East Field Command,East Field Command,Police Constable,2
1059,2020,Priority Response Command,East Field Command,East Field Command,Sergeant/Detective,3
1060,2020,Priority Response Command,East Field Command,East Field Command,Superintendent & Above,0
1061,2020,Priority Response Command,East Field Command,Toronto Police Operations,Civilian,2
1062,2020,Priority Response Command,East Field Command,Toronto Police Operations,Detective Sergeant/ Staff Sergeant,6
